iteration,precision,recall,f1-score,support,accuracy
1,0.773,0.845,0.799,986,0.845
2,0.784,0.853,0.811,984,0.853
3,0.781,0.852,0.808,984,0.852
4,0.79,0.863,0.821,982,0.863
5,0.775,0.846,0.803,979,0.846
