iteration,precision,recall,f1-score,support,accuracy
1,0.757,0.812,0.781,986,0.812
2,0.733,0.825,0.775,984,0.825
3,0.744,0.801,0.767,984,0.801
4,0.731,0.82,0.771,982,0.82
5,0.817,0.832,0.802,979,0.832
