iteration,precision,recall,f1-score,support,accuracy
1,0.573,0.565,0.569,986,0.565
2,0.564,0.556,0.56,984,0.556
3,0.58,0.571,0.576,984,0.571
4,0.582,0.571,0.577,982,0.571
5,0.596,0.584,0.59,979,0.584
