iteration,precision,recall,f1-score,support,accuracy
1,0.575,0.568,0.572,986,0.568
2,0.569,0.559,0.564,984,0.559
3,0.57,0.562,0.566,984,0.562
4,0.575,0.565,0.57,982,0.565
5,0.568,0.556,0.562,979,0.556
