iteration,precision,recall,f1-score,support,accuracy
1,0.926,0.927,0.926,986,0.927
2,0.935,0.936,0.935,984,0.936
3,0.914,0.915,0.913,984,0.915
4,0.938,0.939,0.938,982,0.939
5,0.936,0.934,0.934,979,0.934
