iteration,all base,all svm,wo dict base,wo dict svm,wo onto base,wo onto svm
1,0.572,0.926,0.587,0.781,0.569,0.799
2,0.564,0.935,0.577,0.775,0.56,0.811
3,0.566,0.913,0.571,0.767,0.576,0.808
4,0.57,0.938,0.567,0.771,0.577,0.821
5,0.562,0.934,0.574,0.802,0.59,0.803
