iteration,precision,recall,f1-score,support,accuracy
1,0.591,0.583,0.587,986,0.583
2,0.582,0.573,0.577,984,0.573
3,0.575,0.566,0.571,984,0.566
4,0.573,0.562,0.567,982,0.562
5,0.58,0.568,0.574,979,0.568
